payment_id,amount,previous_failures,customer_history,failure_reason,payment_method,retry_count,customer_age_days,time_of_day,day_type,recovered
PAY00522,1645.79,1,1,risk_declined,Card,1,608,5,weekday,0
PAY00738,6949.85,3,0,network_error,Card,3,295,5,weekday,1
PAY00741,8200.92,3,0,insufficient_funds,Card,1,768,7,weekend,1
PAY00661,830.77,0,0,expired_card,UPI,2,927,8,weekday,0
PAY00412,481.52,3,1,insufficient_funds,UPI,4,430,14,weekday,0
PAY00679,4866.19,0,0,network_error,Net Banking,1,721,11,weekday,1
PAY00627,2466.67,2,1,insufficient_funds,Card,0,390,5,weekend,1
PAY00514,3253.0,1,1,authentication_failed,UPI,1,515,6,weekday,1
PAY00860,6167.85,2,1,card_declined,Card,0,947,2,weekday,0
PAY00137,4568.8,2,0,insufficient_funds,UPI,1,586,4,weekday,1
PAY00812,2141.6,0,0,expired_card,Card,1,498,9,weekend,0
PAY00077,2434.15,1,0,card_declined,UPI,1,3000,4,weekday,0
PAY00637,2978.23,1,1,insufficient_funds,UPI,0,1102,19,weekday,1
PAY00974,5912.42,0,1,network_error,Card,2,356,23,weekend,1
PAY00939,7783.52,0,0,insufficient_funds,Net Banking,2,582,4,weekend,0
PAY00900,948.82,1,1,customer_cancelled,UPI,0,1008,16,weekday,0
PAY00281,5263.97,2,1,network_error,UPI,0,1016,8,weekend,0
PAY00884,1292.51,0,0,network_error,UPI,0,515,16,weekday,1
PAY00762,6006.42,1,1,insufficient_funds,UPI,1,686,9,weekday,0
PAY00320,1285.57,1,0,bank_server_error,Card,0,139,22,weekend,0
PAY00550,6147.4,3,0,network_error,UPI,2,1263,11,weekday,0
PAY00175,1181.18,1,1,expired_card,UPI,0,887,0,weekday,0
PAY00372,10830.64,1,1,transaction_limit,Card,1,851,12,weekday,0
PAY00528,3913.87,1,0,network_error,Net Banking,0,296,10,weekday,0
PAY00211,7623.84,1,1,customer_cancelled,UPI,1,1498,5,weekday,1
PAY00236,2007.2,1,0,authentication_failed,Net Banking,1,627,8,weekday,1
PAY00102,10560.36,1,1,timeout,Net Banking,1,1055,17,weekday,1
PAY00987,1060.92,2,1,card_declined,Card,2,756,15,weekday,1
PAY00903,3087.73,1,1,insufficient_funds,Net Banking,1,973,17,weekday,0
PAY00948,289.89,0,1,card_declined,UPI,0,459,5,weekday,1
PAY00347,2117.69,1,1,timeout,Card,1,522,7,weekend,1
PAY00140,41660.19,2,1,expired_card,Card,1,273,18,weekday,0
PAY00622,3596.84,0,1,card_declined,Card,3,1126,3,weekend,1
PAY00500,982.12,0,1,risk_declined,UPI,1,476,11,weekday,0
PAY00371,3534.16,1,0,insufficient_funds,UPI,2,518,12,weekend,0
PAY00199,3484.8,2,1,expired_card,Card,0,1390,7,weekend,0
PAY00688,12508.16,2,1,network_error,Card,1,504,22,weekday,1
PAY00585,6423.74,2,1,expired_card,UPI,2,353,7,weekday,0
PAY00902,3818.79,2,1,bank_server_error,Card,1,666,5,weekday,0
PAY00060,7970.92,0,0,bank_server_error,UPI,1,629,13,weekday,0
PAY00329,1292.47,1,1,expired_card,UPI,1,615,10,weekend,0
PAY00097,1137.09,0,1,bank_server_error,UPI,2,514,17,weekday,1
PAY00313,15411.4,1,1,insufficient_funds,UPI,0,1029,16,weekday,1
PAY00975,1496.32,0,0,card_declined,UPI,1,694,5,weekday,1
PAY00300,4625.38,0,1,timeout,UPI,1,623,0,weekday,1
PAY00278,1359.63,1,1,transaction_limit,Net Banking,1,691,17,weekend,1
PAY00925,3039.0,2,1,insufficient_funds,UPI,0,818,20,weekend,1
PAY00602,2142.25,0,1,network_error,UPI,0,524,11,weekday,1
PAY00440,5035.28,2,1,insufficient_funds,Net Banking,0,1556,10,weekday,0
PAY00838,11776.73,1,1,card_declined,UPI,0,672,19,weekday,1
PAY00571,1022.1,1,0,card_declined,UPI,0,403,16,weekday,1
PAY00880,3417.73,1,1,card_declined,Card,0,1446,9,weekday,1
PAY00262,2790.81,1,1,card_declined,Wallet,1,270,12,weekday,0
PAY00579,2823.91,1,1,expired_card,Net Banking,2,251,12,weekday,0
PAY00024,3069.19,7,1,authentication_failed,Wallet,0,724,8,weekend,0
PAY00031,21610.16,0,1,network_error,Net Banking,0,753,16,weekend,1
PAY00618,4298.05,0,1,bank_server_error,UPI,0,984,6,weekday,1
PAY00011,7390.91,0,0,network_error,UPI,1,537,7,weekend,1
PAY00222,4301.16,0,1,risk_declined,UPI,1,1584,21,weekend,0
PAY00821,2324.97,1,1,network_error,UPI,1,195,3,weekday,1
PAY00297,4501.26,3,1,insufficient_funds,UPI,0,519,8,weekend,1
PAY00055,2346.55,1,1,insufficient_funds,Net Banking,1,727,12,weekday,1
PAY00543,4320.1,1,0,customer_cancelled,UPI,2,388,22,weekday,1
PAY00210,2634.67,1,1,network_error,Card,0,79,16,weekday,1
PAY00605,2037.33,2,0,network_error,Card,0,1005,17,weekday,1
PAY00693,7861.74,0,0,network_error,Card,0,1419,4,weekday,1
PAY00663,1625.32,0,1,timeout,Card,1,601,21,weekday,1
PAY00867,1118.42,2,0,timeout,Card,1,163,23,weekday,0
PAY00071,1183.44,0,1,expired_card,Net Banking,3,1255,11,weekday,0
PAY00544,3005.43,1,0,network_error,UPI,2,747,2,weekend,0
PAY00108,2623.7,3,1,bank_server_error,UPI,1,1075,8,weekday,0
PAY00494,5148.13,1,1,authentication_failed,Wallet,3,835,10,weekend,0
PAY00591,1238.31,1,1,risk_declined,UPI,2,989,8,weekday,0
PAY00742,9605.44,2,1,bank_server_error,Card,2,477,14,weekday,1
PAY00293,12225.59,3,1,timeout,Card,2,413,20,weekday,1
PAY00290,3205.28,2,1,customer_cancelled,UPI,1,986,19,weekday,0
PAY00653,14446.72,3,0,timeout,UPI,1,835,21,weekend,0
PAY00040,6084.64,1,1,card_declined,Net Banking,2,1106,22,weekday,0
PAY00590,13766.14,0,1,card_declined,UPI,0,775,5,weekday,1
PAY00308,10567.69,2,1,network_error,UPI,2,664,21,weekday,1
PAY00680,3037.01,0,1,timeout,UPI,3,1049,4,weekday,1
